State,Total Area (Sq. Mi.)
AL,"52,420"
AK,"665,384"
AZ,"113,990"
AR,"53,179"
CA,"163,695"
CO,"104,094"
CT,"5,543"
DE,"2,489"
FL,"65,758"
GA,"59,425"
HI,"10,932"
ID,"83,569"
IL,"57,914"
IN,"36,420"
IA,"56,273"
KS,"82,278"
KY,"40,408"
LA,"52,378"
ME,"35,380"
MD,"12,406"
MA,"10,554"
MI,"96,714"
MN,"86,936"
MS,"48,432"
MO,"69,707"
MT,"147,040"
NE,"77,348"
NV,"110,572"
NH,"9,349"
NJ,"8,723"
NM,"121,590"
NY,"54,555"
NC,"53,819"
ND,"70,698"
OH,"44,826"
OK,"69,899"
OR,"98,379"
PA,"46,054"
RI,"1,545"
SC,"32,020"
SD,"77,116"
TN,"42,144"
TX,"268,596"
UT,"84,897"
VT,"9,616"
VA,"42,775"
WA,"71,298"
WV,"24,230"
WI,"65,496"
WY,"97,813"
DC,68
